description,ingredients,instructions,name,calories,carbs,protein,fat
A tasty recipe packed with good-for-you foods.,"['184 cups 100% apple juice', '1 cup quick cooking oats', '1 minute before serving.', '1 large apple, cored and cut into bite-size chunks', '1/2 teaspoon ground cinnamon', '1⁄8 teaspoon salt (optional)']","1. Combine all ingredients in a medium, microwave safe bowl. 2. Place in microwave uncovered and cook on high for about 2 minutes. 3. Stir and let cool for 1 minute before serving.",APPLE OATMEAL,628,136,12,4
Lowfat yogurt dresses up this tasty fruit cup.,"['2 oranges, peeled, seeded, and sliced into bite-size pieces', '1 medium banana, peeled and sliced', '1 tablespoon raisins', '1⁄3 cup lowfat vanilla yogurt', '1/2 teaspoon ground cinnamon']","1. Inasmall bowl, combine fruit. 2. Divide fruit equally into 4 bowls. 3. Put a rounded tablespoon of lowfat yogurt over fruit in each bowl, and sprinkle equal amounts of ground cinnamon before serving.",BREAKFAST FRUIT CUP,324,76,8,0
A special morning treat for you and your family. Add a sprinkle of granola for more crunch.,"['2 papayas, rinsed and peeled', '1 medium banana, peeled and sliced', '1 kiwifruit, peeled and sliced', '1 cup sliced strawberries', '1 (11-ounce) can mandarin oranges, drained', '3/4 cup lowfat vanilla yogurt', '1 tablespoon honey*', '2 teaspoons chopped fresh mint (optional)']","1. Cut papayas in half lengthwise. Scoop out seeds. Place each half ina medium plate. 2. Place an equal amount of banana, kiwifruit, strawberries, and oranges in each papaya half. 3. Combine yogurt, honey and mint; mix well. Spoon over fruit before serving.",PAPAYA BOATS,780,184,20,4
"A refreshing mixture of fruit, juice, and frozen yogurt for a meal on the go.","['1 mango, peeled, seeded, and cut into chunks', '1 large banana, peeled and sliced', '1 cup undrained pineapple chunks*', '3/4 cup lowfat vanilla frozen yogurt', '1 cup ice cubes']",1. Combine all ingredients in a blender container. Blend until mixture is smooth 2. Pour into glasses and serve.,TROPICAL EYE OPENER,604,140,12,4
"This recipe promises to be a family favorite. Try fresh, canned, or frozen fruits for different flavors.","['10 minutes cook tim', '1 large banana, peeled and sliced', '1 cup unsweetened frozen strawberries, thawed and sliced', '1 cup complete pancake mix', '2 tablespoons orange juice', '1/2 cup water']","1. Place bananas in a medium bowl and mash with a fork. 1. To make the topping, spray a pan with nonstick cooking spray and heat over medium heat. 2. Add pancake mix and water; stir until blended. 2. Cook berries and orange juice for 3 minutes or until the berries are soft. 3. Spray a large skillet with nonstick cooking spray and heat over medium heat. 3. Spoon topping over pancakes and serve. 4. Pour % cup batter for each pancake into hot skillet. Cook pancakes for about 2 minutes per side until fully cooked.",BANANA BERRY PANCAKES,436,96,8,4
A healthy version of a classic breakfast dish!,"['4 (6-inch) corn tortillas', '1/2 tablespoon vegetable oil', '2 tablespoons shredded cheddar or monterey jack cheese', '2 cups fresh salsa (see page 54)', '11/2 cups egg substitute', '1⁄8 teaspoon ground black pepper']",1. Preheat oven to 450°F. 2. Lightly brush tortillas with oil on both sides and place on a baking sheet. Bake for 5 to 10 minutes or until tortillas are crisp on the edges and starting to brown. Remove from the oven and set aside. 3. Spray a large skillet with nonstick cooking spray. 4. Pour egg substitute into skillet. Cook over medium heat for 2 to 3 minutes until eggs are cooked through. 5. Place an equal amount of eggs on each tortilla and top each with ¥2 tablespoon cheese. 6. Place under the broiler for about 2 minutes until cheese is melted. Spoon ¥2 cup Fresh Salsa on each tortilla and top with ground black pepper. Serve warm.,HUEVOS RANCHEROS WITH FRESH SALSA,584,64,52,16
This unique omelet includes vegetables and whole wheat bread for a balanced breakfast.,"['1/2 slice whole wheat bread', '2 tablespoons grated part-skim mozzarella cheese', '1/2 teaspoon olive oil', '1 clove garlic, finely chopped', '1 large tomato, chopped', '1 teaspoon dried basil', '3/4 cup egg substitute']","1. Preheat oven to 300°F. 2. Cut the bread into cubes; toss with oil and garlic in a small bowl. Spread the cubes in a single layer on a baking sheet and toast in the oven for 15 to 25 minutes, or until golden brown, tossing once or twice. Transfer to a plate to cool. 3. Spray a medium pan with nonstick cooking spray and heat over medium-high heat. Pour in egg substitute. 4. When the egg begins to set, spread evenly across the bottom of the pan and reduce the heat to low. 5. Once the top layer of egg is almost cooked, sprinkle the cheese and basil on top and scatter the tomatoes and bread over half of the omelet; fold the unfilled omelet half over the filling. Slide the omelet on a plate and serve.",TOMATO AND GARLIC OMELET,235,18,27,7
"A protein-packed mixture of seasoned vegetables,","['1 (15-ounce) can low-sodium black beans', '1⁄8 teaspoon cayenne pepper or more to taste', '2 teaspoons lemon juice', '1 cup frozen corn, thawed', '1/2 teaspoon chili powder', '1 cup fresh or no salt added canned tomatoes', '2 medium whole wheat pita pockets', '1 avocado, chopped', '1⁄3 cup shredded part-skim mozzarella cheese', '1 clove garlic, finely chopped', '1 teaspoon chopped fresh parsley']","1. Drain and rinse beans. In a medium bowl, combine beans, corn, tomatoes, avocado, and garlic. Add parsley, cayenne pepper, lemon juice, and chili powder. 2. Cut pita bread in half to form 4 pockets, and spoon equal amounts of filling into each half. Top with cheese and serve.",BLACK BEAN AND CORN PITAS,1408,216,64,40
Make a day ahead for a delicious lunch at work.,"['2 cups chopped, cooked chicken or turkey', '1 cup chopped red bell pepper', '3 tablespoons light italian dressing', '1 fresh anaheim chili, seeded and chopped', '1 cup frozen corn, thawed', '1 cup chopped carrots', '1/4 teaspoon ground black pepper', '4 green onions, sliced', '1/4 cup chopped fresh cilantro']","1. Ina blender or food processor container, purée tomatillos with dressing, Anaheim chili, and ground black pepper; set aside. 2. Combine all salad ingredients in a large bowl and toss. 3. Drizzle dressing over salad and toss well to coat. 4. Cover and chill for 20 minutes or make a day ahead to allow flavors to blend. 5. Serve on lettuce-lined plates or bowls.",CHICKEN TOMATILLO SALAD,846,72,96,24
"This salad is so easy to prepare. Add some diced, cooked chicken to make this side dish a meal, or sprinkle over","['2 cups frozen corn, thawed', '1 (10-ounce) can diced tomatoes with green chilies, drained', '1 tablespoon lime juice', '1⁄3 cup sliced green onions', '2 tablespoons chopped fresh cilantro', '1/2 tablespoon vegetable oil']",1. Combine all ingredients in a medium bowl; mix well and serve.,CORN AND GREEN CHILI SALAD,376,76,12,8
