description,ingredients,instructions,name,calories,carbs,protein,fat
"This is a staple meal that is consistently found on our breakfast tables. There is something about the taste, texture, and nutritive properties of this omelet that really hits the spot first thing in the morning.  Fresh spinach works best for this recipe. Be sure to buy the pre- washed bags of fresh spinach, or be prepared to spend a lot of time over the sink washing each leaf. If you don’t want to bother with fresh spinach, you can also use the frozen variety. Just thaw and drain it before cooking.","['6 large egg whites (1 cup) plus one whole omega-3 egg, beaten', '4 oz. smoked turkey “ham”, chopped', '1 handful fresh spinach (or 1/3 cup frozen, thawed and drained)', '1/2 cup mushrooms, sliced', '1/3 onion, chopped', '1 slice fat free cheese']","Stir-fry the chopped turkey, onions, and mushrooms in a skillet coated with olive oil cooking spray on medium-high heat for 5 minutes, or until things begin to brown. Add the spinach and stir for about 30 seconds, just until the spinach becomes dark green and condensed.  Given the size and mass of this omelet, special methods are necessary for ensuring a successful meal. Remove the contents from the skillet. Rinse the skillet to provide a fresh surface for the eggs, apply a new coat of olive oil cooking spray, and return it to medium-high heat. Add the beaten eggs. Wait a couple of minutes until you see bubbles starting to form around the edges of the eggs, then lift a portion of the eggs with a spatula, allowing the runny eggs on top to flow beneath the part that you lifted with the spatula. Do this in three or four places around the perimeter of the omelet. After another minute, when the bottom is solid again, flip the omelet.  After flipping the omelet, add the slice of cheese to the top, still exposed in the skillet, and then dump the sautéed mixture of turkey and vegetables onto one half of the omelet. Fold the omelet over to cover the contents, then slide it onto a plate and enjoy!",SPINACH AND CHEESE OMELET,408,14,58,12
Here is a guilt-free version of a traditional breakfast from your favorite greasy spoon diner. This provides a heaping helping of high-quality protein to shut off morning muscle breakdown.,"['6 large egg whites (1 cup) plus one whole omega-3 egg, beaten', '4 oz turkey ham, chopped', '1/2 fresh green pepper, cut into strips', '1/2 small onion, chopped', '1 slice fat free cheese', '2 tsp butter , coconut oil, or Smart Balance spread']","In a large skillet, brown the onions and turkey ham in 1 tsp of the butter spread, adding green peppers for the last couple of minutes. Remove from the skillet, add the remaining butter spread, and pour in the beaten eggs. Flip the omelet, then add the slice of cheese to the top. Then add the sautéed mixture of turkey and vegetables onto one half of the omelet and fold it over to serve.",DENVER OMELET,477,11,71,14
"Does a 500 calorie egg white omelet with fat free cheese sound pansy to you? If so, this omelet is for you. It  was created for those among us trying to gain weight (muscle, that is), providing more of everything, including saturated fat and overall calories.","['6 egg whites (1 cup), plus 3 whole omega-3 eggs, beaten', '6 oz lean turkey sausage', '1 Roma tomato, chopped', '1/2 small onion, chopped', '1/4 cup fresh coriander, chopped', '1/2 cup shredded Colby cheese', '2 tsp butter, coconut oil, or Smart Balance spread']","In a large skillet, sauté turkey sausage and onions in 1 tsp butter/spread for about 5 minutes, until brown. Add tomato and coriander and stir for about 3 minutes, until tomatoes become soft but not entirely dissolved. Remove mixture from skillet, add the remaining butter/spread, and pour in the egg mixture. Flip the omelet, add the sautéed mixture and shredded cheese, fold the omelet and serve.",BULKER’S OMELET,953,13,107,50
"This is a quick and easy recipe that provides a nice break from any breakfast menu that starts to become monotonous or stale.  We are creatures of habit and once we find something we like, such as the spinach cheese omelet, then it’s the same breakfast for a year. Well, variety is good. Who knows, after trying this one, it may even become your old standby.  Peanut oil gives this dish a nutty flavor that is a quality of any good Asian recipe. Together with the citrus zest of the ginger and the smoky soy sauce flavor, this dish is sure to please any aficionados of the Orient.","['6 egg whites, plus', '2 whole omega-3 eggs, beaten', '1 cup chopped mushrooms', '6 medium scallions (green onions), chopped', '10 snow peas, quartered', '1/2 bell pepper, chopped', '2 tsp peanut oil', '1 tbsp chopped fresh ginger', '2 cloves garlic, chopped', '1 tbsp soy sauce']","In a skillet or wok on medium-high heat, brown the garlic and ginger in half of the oil (1 tsp). After a couple of minutes, add the mushrooms, snow peas, and pepper. Stir-fry until the mushrooms start to brown and lose most of their moisture, and then add the chopped scallions. Stir-fry for another couple of minutes while drizzling half of the soy sauce over the mixture, and then remove the vegetables from the skillet. Add the remaining oil, then the eggs. When the eggs start to bubble around the edges, stir them with a spatula until scrambled. Just before the eggs are completely cooked, add the vegetables and mix thoroughly. Serve warm, with the remaining soy sauce drizzled over the top after cooking.",ASIAN SCRAMBLED EGGS,433,27,40,19
"Head south of the border with this revved-up version of a Central American breakfast. If you’re not afraid of a little spice in the morning, Tabasco sauce can be added  for a tear-jerking wake-up call.","['6 egg whites (1 cup), plus 1 whole omega-3 egg, beaten', '4 oz lean turkey sausage or turkey/chicken chorizo if you can find it', '1/2 red bell pepper, chopped', '1/2 small onion, chopped', '1 medium tomato, chopped', '1/3 cup shredded cheddar cheese', '1/4 cup salsa', '2 tsp butter , coconut oil, or Smart Balance spread', '1 tsp paprika']","Combine the eggs and paprika in a bowl and beat with a fork until blended. In a large skillet, sauté the turkey sausage, onions, and peppers for about 5 minutes, until brown. Add the eggs, then the tomato, salsa, and cheese. Cook over medium heat until the eggs are cooked most of the way through, occasionally lifting one of the edges of the frittata and tilting the skillet to allow the raw egg to drain onto the pan and cook. Flip the frittata to finish cooking, and then serve.",MEXICAN FRITTATA,689,22,76,32
"Shakshuka is a savory breakfast served in the Levant that incorporates eggs and tomatoes. Our version has the added goodness of steel-cut oats fora nutty flavor, a great texture, and all of the benefits of this nutritious grain.","['1/3 cup steel-cut oats', '2 large tomatoes, chopped', '2 tbsp tomato paste', '1 medium onion, chopped', '1 clove garlic, chopped', '1 omega-3 egg', '3/4 cup raw regular egg whites', 'Salt and pepper, to taste']","Bring the oats, tomatoes, and tomato paste to a boil in 2 cups of water. Cover and reduce heat to a simmer for 25 minutes.  Sauté the onion and garlic in a skillet coated with olive oil cooking spray and add these to the pot when the oats have finished cooking. The consistency should be thick, but a little soupy. More water may need to be added at this point to achieve the desired consistency.  Spread the whole egg and egg whites over the surface, stirring gently to break the yolk. Cover and simmer for an additional 3-4 minutes. Sprinkle with salt and pepper and serve it up.",SHAKSHUKA,482,64,38,9
"Don’t feel like chopping vegetables & cracking eggs to make an omelet? Check out this tried and true breakfast. Go buy yourself a tub of plain, rolled oats, a.k.a. “old- fashioned oats,” get some protein powder, and get started. But before doing so, we want you to do 2 things. First, make sure you get real oats. Avoid the sugary pitfalls of pre- packaged instant oatmeal. Also, make sure the protein powder you pick up actually tastes good. Many cheap protein powders taste worse than sewage so ask around for the good tasting varieties - and, importantly, try before you buy.","['1 cup rolled oats', '1 cup skim milk', '1 scoop vanilla whey protein powder or milk protein blend', '1/2 cup berries (fresh or frozen, your choice of berries)', 'Splenda, to taste Dash salt', 'Dash cinnamon']","Combine the oats, milk, salt, and cinnamon in a large bowl. Microwave for one minute, stir, then microwave for one additional minute. Stir in the berries, Splenda, salt, and cinnamon. Lastly, add the protein powder and mix completely. The oatmeal should have cooled slightly before the protein is added. Very hot oatmeal can damage protein powder, causing it to lump and sour.",BASIC OATMEAL,580,83,45,7
Oatmeal - good. Chocolate peanut butter oatmeal - even better. This recipe exploits one of the best taste harmonies in existence to produce a meal that is quite simply addictive. Just don’t go overboard on the peanut butter. Spend the time to measure your peanut butter with measuring spoons so that you don’t grossly overestimate how much you're adding.,"['1 cup rolled oats', '1 cup Carb Countdown Dairy Beverage, Chocolate 2%', '2 tsp natural peanut butter', 'Splenda, to taste']","Simple — put all of the ingredients into a bowl and microwave for 1 minute, stir, then microwave for another minute, stir, and enjoy.",REESE’S OATMEAL,503,63,30,15
"For all of you oat aficionados out there, this recipe is for you. It combines steel-cut oats, oat bran, and flax seeds into a hearty gruel that always satisfies.","['1/3 cup steel-cut oats', '1/3 cup oat bran', '1 tbsp whole flax seeds', '1/2 cup blueberries (frozen or fresh)', '1/2 tsp cinnamon', '1/8 tsp salt', '1 scoop vanilla whey protein or milk protein blend', 'Splenda, to taste', 'Water, see instructions for amount']","Many people avoid steel-cut oats because of the cooking time. Because steel-cut oats are broken parts of the whole grain, they require about 20 minutes of simmering. It can be well worth the wait, but we have devised a quicker method. So we'll give you two options for cooking:  Option 1 - Traditional Cooking Method  Combine the steel cut oats, salt, and 3 cups of water in a nonstick pot. Bring to a boil and simmer uncovered for 18 minutes on medium heat. Then add oat bran, flax seeds, and cinnamon. Stir thoroughly, remove from heat, add the berries, then the protein when sufficiently cool.  Option 2 - Quick Cooking Method  At night before going to bed, combine steel-cut oats, salt, and 2 1/4 cups water in a nonstick pan. Bring to a boil, remove from heat, and cover for the night. In the morning, bring to a boil again, add the oat bran, flax seeds, and cinnamon. Stir thoroughly, remove from heat, add the berries, then the protein when sufficiently cool.",MUSCLE GRUEL,520,78,39,12
"Here is a quick, easy meal that can be prepared in the office microwave. You'll get a lot of fiber in this one, so be prepared for a surprisingly filling bowl of porridge.","['/2 cup oat bran /3 cup wheat bran', '2 tbsp flax meal', '/2 cup unsweetened applesauce', 'scoop vanilla whey protein or milk protein blend', '/4 tsp cinnamon', '', '/8 tsp salt Splenda, to taste', '3/4 cup water (skim milk can also be used for a creamier texture)']","Combine oat bran, wheat bran, flax meal, cinnamon, salt, and water in a large bowl. Microwave on high for 30 seconds, stir, then microwave for an additional 30 seconds, or until hot but not boiling. Remove from microwave and stir in applesauce, Splenda, then protein powder. If you don’t like the taste of your protein powder it can be left out if the porridge is eaten with a protein-rich meal (like eggs).",BRAN PORRIDGE,380,64,36,9
