description,ingredients,instructions,name,calories,carbs,protein,fat
These pumpkin seeds make a delicious snack delivering a slight sweetness with a kick thanks to chili powder and red pepper. Each serving packs a good amount of protein delivering 9 grams of protein per 2 tablespoons--munch on that!,"['1 cup unsalted pumpkin seed kernels', '1 tablespoon canola oil', '1 teaspoon sugar', '1/2 teaspoon ground cumin', '1/2 teaspoon chipotle chile powder', '1/4 teaspoon kosher salt', '1/4 teaspoon ground cinnamon', 'Dash of ground red pepper']","1. Place 1 cup pumpkin seeds in a large skillet over medium heat. Cook for 4 minutes or until toasted, stirring constantly (seeds will pop slightly). 2. Combine canola oil and remaining ingredients in a large bowl; add seeds, tossing to coat. Arrange seeds in a single layer on a paper towel-lined baking sheet. Cool 10 minutes.",SWEET & SPICY PUMPKIN SEEDS,1320,24,72,104
Serve this quick after-school snack to your kids as an alternative to traditional fried cheese sticks. Each serving of 3 mozzarella bites packs 7 grams of protein and is less than 100 calories.,"['1/3 cup panko (Japanese breadcrumbs)', '3 (1-ounce) sticks part-skim mozzarella string cheese', '3 tablespoons egg substitute', 'Cooking spray', '1/4 cup lower-sodium marinara sauce (such as McCutcheon‘s)']","1. Preheat oven to 425°F. 2. Heat a medium skillet over medium heat. Add 1/3 cup panko to pan, and cook for 2 minutes or until toasted, stirring frequently. Remove from heat, and place the panko in a shallow dish. 3. Cut mozzarella sticks into 1-inch pieces. Working with one piece at a time, dip cheese in egg substitute; dredge in panko. Place cheese on a baking sheet coated with cooking spray. Bake at 425°F for 3 minutes or until the cheese is softened and thoroughly heated. 4. Pour the marinara sauce into a microwave-safe bowl. Microwave at HIGH 1 minute or until thoroughly heated, stirring after 30 seconds. Serve with mozzarella pieces.",BAKED MOZZARELLA BITES,392,28,28,20
Craving a crunchy munchy but tired of salted peanuts? Toasted chickpeas could be your new go-to snack because it’s lower in calories and fat but equally addicting!,"['2 (15 1/2-ounce) cans organic chickpeas (garbanzo beans), rinsed and drained (certified gluten-free is necessary)', '2 tablespoons canola oil', '1 teaspoon ground cumin', '3/4 teaspoon kosher salt', '1/4 teaspoon ground red pepper', '1/8 teaspoon onion powder', '1 garlic clove, minced']","1. Preheat oven to 300°F. 2. Wrap chickpeas in a towel; lightly roll to loosen skins. Discard skins. Combine chickpeas and remaining ingredients. Arrange on a baking sheet. Bake at 300°F for 1 hour and 40 minutes, stirring every 20 minutes.",CRUNCHY CHICKPEAS,960,144,40,40
"The rich and creamy combination of bacon, cream cheese, and cheddar nicely contrasts with the muted spice of grilled jalapeño peppers. This appetizer recipe is a healthy, fresh alternative to the popular breaded and fried version.","['2 center-cut bacon slices', '4 ounces cream cheese, softened (about 1/2 cup)', '4 ounces fat-free cream cheese, softened (about', '1 ounce extra-sharp cheddar cheese, shredded 1/2 cup) (about 1/4 cup)', '1/4 cup minced green onions', '1 teaspoon fresh lime juice', '1/4 teaspoon kosher salt', '1 small garlic clove, minced', '14 jalapeño peppers, halved lengthwise and seeded', 'Cooking spray', '2 tablespoons chopped fresh cilantro', '2 tablespoons chopped seeded tomato']","1. Preheat grill to medium-high heat. 2. Cook bacon in a skillet over medium heat until crisp. Remove bacon from pan; drain on paper towels. Crumble bacon. 3. Combine crumbled bacon, cheeses, and next 4 ingredients (through garlic) in a bowl, stirring well to combine. Divide cheese mixture evenly to fill the pepper halves. 4. Place peppers, cheese sides up, on grill rack or grill grate coated with cooking spray. Cover and grill peppers 8 minutes or until bottoms of peppers are charred and cheese mixture is lightly browned. 5. Place peppers on a serving platter. Sprinkle with cilantro and tomato.",GRILLED STUFFED JALEPEÑOS,798,28,42,56
"go-to appetizer for parties, this spinach and artichoke dip is creamy on the inside and crispy on the outside with a cheesy taste that’s appealing to all. Each 1/4 cup serving is not only lower in calories and fat but packs 6 grams of protein.","['1/2 cup fat-free sour cream', '1/4 teaspoon freshly ground black pepper', '3 garlic cloves, minced', '1 (14-ounce) can artichoke hearts, drained and', '1 (10-ounce) package frozen chopped spinach, thawed, drained, and squeezed dry', '1 (8-ounce) block 1/3-less-fat cream cheese, chopped softened softened', '1 (8-ounce) block fat-free cream cheese,', '6 ounces part-skim mozzarella cheese, shredded and divided (about 1 1/2 cups)', '1 ounce fresh Parmesan cheese, grated and divided (about 1/4 cup)']","1. Preheat oven to 350°F. 2. Combine first 7 ingredients in a large bowl, stirring until well-blended. Add 4 ounces (1 cup) mozzarella and 2 tablespoons Parmesan; stir well. Spoon mixture into a broiler-safe 1 1/2-quart glass or ceramic baking dish. Sprinkle with remaining 1/2 cup mozzarella and remaining 2 tablespoons Parmesan. Bake at 350°F for 30 minutes or until bubbly. 3. Preheat broiler to high (leave dish in oven). Broil dip for 3 minutes or until cheese is lightly browned.",SPINACH ARTICHOKE DIP A,1650,88,132,88
Want to get a healthier way to get your chocolate-y fix? With these chocolate granola apple wedges you can savor chocolate and get a serving of fruit in. At 127 calories for 4 apples wedges this makes a yummy low calorie snack.,"['2 ounces semisweet chocolate, finely chopped (certified gluten-free if necessary)', '1/3 cup low-fat granola without raisins', '1 large Braeburn apple, cut into 16 wedges']","1. Place chocolate in a medium microwave-safe bowl. Microwave at HIGH 1 minute, stirring every 15 seconds, or until chocolate melts. 2. Place granola in a shallow dish. Dip apple wedges, skin side up, in chocolate; allow excess chocolate to drip back into bowl. Dredge wedges in granola. Place wedges, chocolate side up, on a large plate. Refrigerate 5 minutes or until set.",CHOCOLATE GRANOLA APPLE WEDGES,508,88,4,16
There’s nothing quite like the aroma of fresh baked cookies to fill your home! Try out these heavenly carrot cake sandwich cookies filled with a vanilla cream cheese frosting. They’re a portable and palatable making it an easy on-the-go treat.,"['2 cups shredded carrot', '2/3 cup packed brown sugar, divided', '1/4 cup unsalted butter, divided', '2 tablespoons canola oil', '1 teaspoon grated orange rind', '3/4 teaspoon vanilla extract, divided', '1 large egg', '4.5 ounces unbleached all-purpose flour (about 1 cup)', '1 teaspoon ground cinnamon', '3/8 teaspoon salt, divided', '1/4 teaspoon baking soda', '4 ounces 1/3-less-fat cream cheese, softened', '1 cup powdered sugar']","1. Preheat oven to 350°F. Cover 2 baking sheets with parchment paper; set aside. 2. Combine carrot and 3 tablespoons brown sugar in a bowl; toss to coat. Place carrot mixture in a fine mesh sieve; let stand to drain for 10 minutes. Discard liquid. 3. Place 2 tablespoons butter in a medium microwave-safe bowl. Microwave at HIGH 45 seconds or until melted. Add oil, rind, 1/2 teaspoon vanilla extract, and egg; stir with a whisk until well combined. 4. Weigh or lightly spoon flour into a dry measuring cup; level with a knife. Combine flour, remaining brown sugar (about 1/2 cup), cinnamon, 1/4 teaspoon salt, and baking soda in a large bowl; stir well with a whisk. Add carrot mixture and butter mixture; stir until just combined. 5. Drop dough by tablespoonfuls 2 inches apart onto prepared baking sheets for a total of 28 cookies (14 per baking sheet); gently pat dough down to form 2-inch circles. Bake at 350°F for 11 minutes or until set. Remove pans from oven; let stand 3 minutes. Remove cookies from pans; cool completely on a wire rack. 6. Combine cream cheese, remaining 2 tablespoons butter, remaining 1/4 teaspoon vanilla extract, and remaining 1/8 teaspoon salt in a medium bowl; beat with a mixer at medium speed 3 minutes or until fluffy. Add powdered sugar; beat at low speed 1 minute or until well combined (do not overbeat). 7. Spread about 1 tablespoon icing on flat side of 1 cookie; top with another cookie, flat side down. Repeat the procedure with remaining cookies and filling.",CARROT CAKE SANDWICH COOKIES,2590,392,28,112
"Dried cherries and crystallized ginger add a depth of flavor to this simple, four-ingredient chocolate bark. This bittersweet treat is sure to be a hit for all you chocolate lovers out there!","['3/4 cup hazelnuts (about 4 ounces)', '1/3 cup dried cherries, coarsely chopped', '2 tablespoons finely chopped crystallized ginger', '6 ounces bittersweet chocolate, chopped (certified gluten-free if necessary)']",,HAZELNUT BARK,2004,180,36,144
Mashed ripe banana adds sweetness and flavor to these chocolate chip cookies allowing you to add less sugar and butter for the same great taste.,"['1/2 cup mashed ripe banana (about 1 medium)', '1/2 cup packed brown sugar', '1/4 cup butter, softened', '1/4 cup granulated sugar', '1 teaspoon vanilla extract', '1 large egg', '5.6 ounces all-purpose flour (about 1 1/4 cups)', '2 cups old-fashioned oats', '1 teaspoon baking soda', '1/2 teaspoon salt', '1/2 cup semisweet chocolate chips', 'Cooking spray']","1. Preheat oven to 350°F. 2. Combine first 5 ingredients in a large bowl; beat with a mixer at medium speed until smooth. Add egg; beat well. 3. Weigh or lightly spoon flour into dry measuring cups; level with a knife. Combine flour, oats, baking soda, and salt in a medium bowl, stirring with a whisk. Add flour mixture to banana mixture in bowl; beat with a mixer at medium speed until well blended. Stir in chocolate chips. 4. Drop batter by heaping tablespoonfuls 2 inches apart onto baking sheets coated with cooking spray. Bake at 350°F for 18 minutes or until golden. Cool on pans 2 minutes. Remove cookies from pans; cool completely on wire racks.",BANANA OATMEAL CHOCOLATE CHIP COOKIES,2880,480,48,96
"Canned pumpkin offers the same health benefits as fresh, but is a little more convenient. It contributes both color and moistness to these fruit-filled muffins.","['1 1/2 cups all-purpose flour (about 6 3/4 ounces)', '1 teaspoon baking soda', '3/4 teaspoon ground ginger', '1/2 teaspoon baking powder', '1/2 teaspoon ground cinnamon', '1/4 teaspoon salt', '1/8 teaspoon ground cloves', '1 cup granulated sugar', '1 cup canned pumpkin', '1/2 cup low-fat buttermilk', '1/4 cup packed light brown sugar', '2 tablespoons canola oil', '1 large egg', '2/3 cup sweetened dried cranberries, chopped (such as Craisins)', 'Cooking spray']","1. Preheat oven to 375°F. 2. Lightly spoon flour into dry measuring cups; level with a knife. Combine flour, baking soda, and next 5 ingredients (through cloves); stir well with a whisk. 3. Combine granulated sugar and next 5 ingredients (through egg) in a large bowl; beat with a mixer at medium speed until well blended (about 3 minutes). Add flour mixture to sugar mixture; beat at low speed just until combined. Fold in cranberries. 4. Place 12 paper muffin cup liners in muffin cups; coat liners with cooking spray. Spoon batter into prepared cups. Bake at 375°F for 25 minutes or until muffins spring back when touched lightly in center. Remove muffins from pan immediately; place on a wire rack.",PUMPKIN CRANBERRY MUFFINS,2400,492,36,36
